item_name,list_price,unit_cost,stock_code,vat_rate,supplier_code
Cretan barley round rusks 600g,4.1,2.94,KRA004,UK Zero Rate,S00-15
Mini barley rusks 400g,3.9,2.67,KRA006,UK Zero Rate,S00-15
Mini barley rusks NO SALT ADDED 350g,3.4,2.1,KRA008,UK Zero Rate,S00-15
Breadsticks with Sunflower seeds 250g,3.59,2.19,KRA014,UK Zero Rate,S00-15
Sesame bar with almonds 60g,1.35,0.9,KRA023,UK Zero Rate,S00-15
Sesame bar 60g,0.99,0.59,KRA025,UK Zero Rate,S00-15
Sesame bar with sunflower seeds 60g,0.99,0.59,KRA026,UK Zero Rate,S00-15
Sesame bar with peanuts,0.99,0.59,KRA032,UK Zero Rate,S00-15
Mini wheat Rusks with sundried tomato 400gr,3.7,2.67,KRA033,UK Zero Rate,S00-15
Lakis beef pasturma sausages 275g,4.9,3.2,LA001,UK Zero Rate,S00-12
Lakis Greek village style sausages approx 270g,4.9,3.2,LA002,UK Zero Rate,S00-12
Lakis Greek sausages 400g appr.,7.9,5.2,LA003,UK Zero Rate,S00-12
Lakis beef pasturma sausages 2Kg,26,18.4,LA005,UK Zero Rate,S00-12
Farin up self raising flour 500g,1.45,1.58,LOU001,UK Zero Rate,S00-16
Tsoureki flour 1Kg,2.39,2.79,LOU002,UK Zero Rate,S00-16
All purpose wheat flour 1Kg,1.7,1.6,LOU003,UK Zero Rate,S00-16
All purpose organic wheat flour 1Kg,2.9,2.8,LOU004,UK Zero Rate,S00-16
"Self raising flour, gluten free 500g",3.5,4.81,LOU005,UK Zero Rate,S00-16
Semolina fine 500g,1.79,1.2,LOU006,UK Zero Rate,S00-16
Semolina coarse 500g,1.79,1.2,LOU007,UK Zero Rate,S00-16
Chocolate muffins mix 500g,4.95,3.1,LOU008,UK Zero Rate,S00-16
Muffins mix 500g,3.69,2.62,LOU009,UK Zero Rate,S00-16
Choco sponge cake mix 400g,3.19,2.57,LOU010,UK Zero Rate,S00-16
Crepes mix 300g,2.8,1.4,LOU011,UK Zero Rate,S00-16
Easy bake Bechamel,2.7,1.5,LOU014,UK Zero Rate,S00-16
Farin up self raising flour 1kg,3.55,2.95,LOU015,UK Zero Rate,S00-16
Hard  flour No1 1kg,2.3,1.6,LOU016,UK Zero Rate,S00-16
Soft flour No2 1kg,2.3,1.6,LOU017,UK Zero Rate,S00-16
Flour for pizza No 00 1Kg,1.85,1.08,LOU019,UK Zero Rate,S00-16
Loumidis Greek Coffee 194gr,6.5,4.4,LOUM001,UK Zero Rate,S00-73
Loux orange drink 330ml,0.8,0.45,LOUX01,UK Zero Rate,S00-18
Loux lemonade drink 330ml,0.8,0.45,LOUX03,UK Zero Rate,S00-18
Loux sour cherry drink 330ml,0.9,0.49,LOUX05,UK Zero Rate,S00-18
Loux soda 330ml,0.7,0.35,LOUX07,UK Zero Rate,S00-18
Loux gazoza drink with lemon and lime 330ml,0.8,0.45,LOUX09,UK Zero Rate,S00-18
Loux cola 330ml,0.85,0.45,LOUX13,UK Zero Rate,S00-18
Black cherry fruit preserve 500g,4.6,3.1,MAK001,UK Zero Rate,S00-23
Bitter orange fruit preserve 500g,4,3,MAK003,UK Zero Rate,S00-23
Fig fruit preserve 500g,4,3,MAK005,UK Zero Rate,S00-23
Sour cherry fruit preserve 500g,4,3,MAK007,UK Zero Rate,S00-23
Grape fruit preserve 500g,4.6,3.5,MAK009,UK Zero Rate,S00-23
Clementine fruit preserve 500g,4,3,MAK011,UK Zero Rate,S00-23
Quince fruit preserve 500g,4,3,MAK013,UK Zero Rate,S00-23
Cherry fruit preserve 500g,4.6,3.5,MAK015,UK Zero Rate,S00-23
Strawberry fruit preserve 500g,4.6,3.5,MAK017,UK Zero Rate,S00-23
Apricot jam 290g,1.49,0.95,MAK019,UK Zero Rate,S00-23
Strawberry jam 290g,1.49,0.95,MAK021,UK Zero Rate,S00-23
Cherry jam 290g,1.49,0.95,MAK023,UK Zero Rate,S00-23
Forest fruits jam 290g,1.49,0.95,MAK025,UK Zero Rate,S00-23
Blueberry jam 290g,1.49,0.95,MAK027,UK Zero Rate,S00-23
Peeled tahini 300g,5.1,3.8,MAK029,UK Zero Rate,S00-23
Whole wheat tahini 300g,5.1,3.8,MAK031,UK Zero Rate,S00-23
Dark chocolate tahini 320g,5.1,3.8,MAK033,UK Zero Rate,S00-23
Stuffed vine leaves with lemon taste 2Kg,10.5,6.5,MAK035,UK Zero Rate,S00-23
Stuffed vine leaves with lemon taste 280g,2.75,1.7,MAK037,UK Zero Rate,S00-23
Vine leaves in brine 450g,4.49,2.59,MAK039,UK Zero Rate,S00-23
Giant beans from Prespes 2Kg,10.5,5.89,MAK041,UK Zero Rate,S00-23
Giant beans from Prespes 280g,1.99,1.27,MAK043,UK Zero Rate,S00-23
Macedonian pickled golden peppers 5Kg,19,10.2,MAK047,UK Zero Rate,S00-23
Sweet sour gherkins in jar 680g,1.99,1.26,MAK049,UK Zero Rate,S00-23
Red roasted peppers 4.1Kg,14.9,10,MAK051,UK Zero Rate,S00-23
Red roasted peppers in brine 450g,2.9,2.02,MAK053,UK Zero Rate,S00-23
Chilli peppers in brine 340g,2.49,1.68,MAK055,UK Zero Rate,S00-23
Beetroots in slices 4Kg,4.9,4,MAK057,UK Zero Rate,S00-23
Beetroots in slices 700g,1.49,1.05,MAK059,UK Zero Rate,S00-23
Caper 105g,1.49,1.05,MAK061,UK Zero Rate,S00-23
Tomatopaste 4.5Kg,14.9,9.3,MAK063,UK Zero Rate,S00-23
Tomato pulp 680g,1.9,1.15,MAK067,UK Zero Rate,S00-23
Chopped tomatoes 400g,0.9,13.2,MAK070,UK Zero Rate,S00-23
Sun-dried tomatoes in oil 280g,2.49,1.68,MAK073,UK Zero Rate,S00-23
Horeca ketchup 28g,0.49,0.35,MAK075,UK Zero Rate,S00-23
Horeca mustard 28g,0.49,0.35,MAK077,UK Zero Rate,S00-23
Horeca mayonnaise 25g,0.49,0.35,MAK079,UK Zero Rate,S00-23
Chopped tomatoes 2.55Kg,6.5,4,MAK085,UK Zero Rate,S00-23
Vine leaves in brine 3Kg,13,11,MAK088,UK Zero Rate,S00-23
Traditional Handmade Halva with Vanilla  400gr,3.9,3.1,MAK090,UK Zero Rate,S00-23
Traditional Handmade Halva with Cocoa 400gr,3.9,3.1,MAK091,UK Zero Rate,S00-23
Peach Halves 822gr (Composta),2.9,2.4,MAK092,UK Zero Rate,S00-23
Coctail Fruit canned fruit 822gr (Composta),3.3,0,MAK093,UK Zero Rate,S00-23
CAPERS 2kg,0,19,MAK094,UK Zero Rate,S00-23
Spaghetti No6 500g,1.1,0.71,MAKV001,UK Zero Rate,S00-13
Pastitsio No2 500g,1.6,0.99,MAKV002,UK Zero Rate,S00-13
Linguine 500g,1.1,0.75,MAKV003,UK Zero Rate,S00-13
Orzo 500g,1.6,1.04,MAKV005,UK Zero Rate,S00-13
Farfalle 500g,1.1,0.71,MAKV006,UK Zero Rate,S00-13
Perla appetizer yoghurt 5Kg,15,11,MAR012,UK Zero Rate,S00-50
Helios Pastitsio 500g,1.2,0.9,MAR013,UK Zero Rate,S00-50
ANTHOS TAHINI 5Kg,49,34.2,MAR019,UK Zero Rate,S00-50
Candy milk 100gr,1.99,1.5,MEL04-07-142,UK Zero Rate,S00-33
Salonikios halva with vanilla 400g,3.2,2.6,MEL001,UK Zero Rate,S00-33
Salonikios halva with cocoa 400g,3.2,2.6,MEL002,UK Zero Rate,S00-33
Salonikios halva NO SUGAR 400g,3.2,2.6,MEL003,UK Zero Rate,S00-33
"Greek jelly delight rose, loukoumi 400g",3.25,2.55,MEL004,UK Zero Rate,S00-33
"Greek jelly delight vanilla, loukoumi 400g",3.25,2.55,MEL005,UK Zero Rate,S00-33
"Greek jelly delight Chios mastiha, loukoumi 400g",3.25,2.55,MEL006,UK Zero Rate,S00-33
"Greek jelly delight coconut, loukoumi 400g",3.25,2.55,MEL007,UK Zero Rate,S00-33
"Greek delight almond, loukoumi 400g",3.25,2.55,MEL008,UK Zero Rate,S00-33
Greek coffee 100g,2,1.5,MEL009,UK Zero Rate,S00-33
Chocolate syrup 540g,2.5,1.8,MEL010,UK Zero Rate,S00-33
Asorti clipper candy balls 200g,1.99,1.5,MEL011,UK Zero Rate,S00-33
Tahini with Honey 300gr,4.99,3.6,MEL014-14-008,UK Zero Rate,S00-33
Tahini Whole grain sesame 300gr,4.99,3.6,MEL014-14-015,UK Zero Rate,S00-33
Tahini Squeeze 280gr,4.8,3.4,MEL014-14-064,UK Zero Rate,S00-33
Vanilla spoon sweet 300gr,2.45,1.75,MEL025,UK Zero Rate,S00-33
"Greek jelly delight rose, loukoumi 200g",3.8,2.1,MEL04-03-138,UK Zero Rate,S00-33
"Greek jelly delight Chios Masticha, loukoumi 200g",3.8,2.1,MEL04-03-139,UK Zero Rate,S00-33
"Greek jelly delight Cocoa, loukoumi 200g",3.8,2.1,MEL04-03-140,UK Zero Rate,S00-33
"Greek jelly delight Mix, loukoumi 200g",3.8,2.1,MEL04-03-141,UK Zero Rate,S00-33
Strawberry Jam 400gr,2.6,1.9,MEL04-04-317,UK Zero Rate,S00-33
Cherry Jam 400gr,2.6,1.9,MEL04-04-318,UK Zero Rate,S00-33
Peach  Jam 400gr,2.6,1.9,MEL04-04-319,UK Zero Rate,S00-33
Apricot Jam 400gr,2.6,1.9,MEL04-04-320,UK Zero Rate,S00-33
Vanilla spoon sweet 400gr,3.2,2.3,MEL04-05-002,UK Zero Rate,S00-33
Masticha Spoon sweet 400gr,3.2,2.3,MEL04-05-024,UK Zero Rate,S00-33
Glycose Sqeeze bottle 380gr,3.99,2.8,MEL04-06-051,UK Zero Rate,S00-33
Bitter Orange fruit preserve 454g,3.75,2.65,MEL04-08-028,UK Zero Rate,S00-33
Fig fruit preserve 454g,3.75,2.65,MEL04-08-030,UK Zero Rate,S00-33
Sour Cherry fruit preserve 454g,3.75,2.65,MEL04-08-036,UK Zero Rate,S00-33
Bergamot Orange fruit preserve 454g,3.75,2.65,MEL04-08-081,UK Zero Rate,S00-33
Quince fruit preserve 454g,3.75,2.65,MEL04-08-082,UK Zero Rate,S00-33
Orange fruit preserve 454g,3.75,2.65,MEL04-08-093,UK Zero Rate,S00-33
Greek coffee 500g,10,8,MEL05-07-020,UK Zero Rate,S00-33
Greek coffee 200g,4.5,3.5,MEL05-07-042,UK Zero Rate,S00-33
Peanut Butter  350gr,4.4,2.8,MEL06-27-010,UK Zero Rate,S00-33
Peanut Butter with Honey 350gr,4.55,2.8,MEL06-27-011,UK Zero Rate,S00-33
Cocoa Spread & Sesame paste  400gr,3.4,2.1,MEL06-27-013,UK Zero Rate,S00-33
Melinda Cocoa Spread  400gr,3.4,2.1,MEL06-27-093,UK Zero Rate,S00-33
Melinda Cocoa Spread Squeeze 350gr,3.4,2.1,MEL06-27-097,UK Zero Rate,S00-33
Peanut Butter  Crunchy 350gr,4.55,4.55,MEL06-27-12,UK Zero Rate,S00-33
Chocolate syrup 350g,3.4,1.7,MEL08-14-035,UK Zero Rate,S00-33
Caramel syrup 350g,3.4,1.7,MEL08-14-037,UK Zero Rate,S00-33
Strawberry syrup 350g,3.4,1.7,MEL08-14-038,UK Zero Rate,S00-33
Honey Flower 400gr,5.8,4.2,MEL09-21-005,UK Zero Rate,S00-33
Honey  900gr,12.8,7.9,MEL09-21-006,UK Zero Rate,S00-33
Honey for cooking use 3kg appr.,0,27,MEL09-21-068,UK Zero Rate,S00-33
Honey Squeeze 500gr,7.1,4.9,MEL09-21-78,UK Zero Rate,S00-33
Protective Face Mask,4.99,2.99,MT001,UK Zero Rate,S00-80
Protective Face Masks (Pack of 3),14.9,8.9,MT002,UK Zero Rate,S00-80
Handmade pork neck souvlaki 100g (Box of 7Kg appr.),0,46.9,NA002,UK Zero Rate,S00-103
Hard and semi cheese croquettes 400g,5.4,4.4,NI001,UK Zero Rate,S00-47
"Cheese croquettes with feta, cow milk cheese and tomato 400g",5.4,4.4,NI003,UK Zero Rate,S00-47
Handmade traditional zucchini fritters 400g,5.6,4.6,NI005,UK Zero Rate,S00-47
Handmade tomatoballs from Santorini 400g,5.6,4.6,NI007,UK Zero Rate,S00-47
"Mediterranean vegetable burger 440g, Vegan",6.5,4.5,NI009,UK Zero Rate,S00-47
Handmade traditional zucchini fritters 1Kg,11,8,NI013,UK Zero Rate,S00-47
Handmade tomatoballs from Santorini 1Kg,11,8,NI015,UK Zero Rate,S00-47
Chickpea Fritter 400 gr,5.5,4.5,NI019,UK Zero Rate,S00-47
JUMBO VRYKOLES 85gr,1.15,0.96,OH001,UK Zero Rate,S00-25
JUMBO PIZZA  85gr,1.15,0.96,OH002,UK Zero Rate,S00-25
JUMBO GARIDARES 85gr,1.15,0.96,OH003,UK Zero Rate,S00-25
JUMBO FYSTIK 102gr,1.15,0.96,OH004,UK Zero Rate,S00-25
JUMBO FOFICO snack 100gr,1.15,1.09,OH005,UK Zero Rate,S00-25
JUMBO CUBA HONAKIA 100gr,1.15,1.09,OH006,UK Zero Rate,S00-25
JUMBO Chips Salt gluten free 90gr,1.2,1.25,OH007,UK Zero Rate,S00-25
Jumbo Chips Oregano 90gr,1.2,1.25,OH009,UK Zero Rate,S00-25
Souvlaki bamboo skewers (Pack of 200),3.9,2.5,PAL001,UK Zero Rate,S00-70
Papadopoulos Petit Beurre Dark Chocolate & Orange 200gr,3.6,2.25,EB033,UK Zero Rate,S00-111
Papadopoulos Wheat rusks 510gr,4.8,3.1,EB034,UK Zero Rate,S00-111
Petit Beurre biscuits 225g,1.99,1.2,EB035,UK Zero Rate,S00-111
Wheat rusks with rye 160gr,1.8,1.35,PAP004,UK Zero Rate,S00-111
Papadopoulou Wheat rusks with rye 320gr,3.9,2.8,EB036,UK Zero Rate,S00-111
Miranda papadopoulou wholegrain 270gr,2.59,1.95,EB037,UK Zero Rate,S00-111
Papadopoulos biscotello with vanilla cream 200g,1.9,1.35,EB038,UK Zero Rate,S00-111
Traditional Halloumi Cheese 850gr.appr.,13,8.1,PE04069089-01,UK Zero Rate,S00-91
Halloumi Cheese 225gr.,3.1,2.15,PE04069089-02,UK Zero Rate,S00-91
Halloumi Cheese chilli 200gr.,2.9,2.4,PE04069089-03,UK Zero Rate,S00-91
Halloumi Cheese with Basil 200g,2.9,2.4,PE04069089-04,UK Zero Rate,S00-91
Halloumi Cheese Burger Slices 200g,3.4,2.4,PE04069089-05,UK Zero Rate,S00-91
Kataifi 650g,7.9,6.9,PL011,UK Zero Rate,S00-4
Baklava 650g,7.9,7,PL013,UK Zero Rate,S00-4
Galaktoboureko 650g,7.9,7,PL015,UK Zero Rate,S00-4
Revani 650g,7.9,6.9,PL017,UK Zero Rate,S00-4
Walnut pie (karidopita) 650g,7.9,6.9,PL019,UK Zero Rate,S00-4
Mini rox 650g,7.9,6.9,PL021,UK Zero Rate,S00-4
Mini tuluba 650g,7.9,6.9,PL023,UK Zero Rate,S00-4
Mini trigono Panoramatos 450g,7.9,7.9,PL025,UK Zero Rate,S00-4
Mini corne 550g,7.9,6.9,PL027,UK Zero Rate,S00-4
Baklava 24 pieces 3.150g,36.9,31,PL029,UK Zero Rate,S00-4
Kataifi 25 pieces 4Kg,36.9,30,PL030,UK Zero Rate,S00-4
Galaktoboureko 24 pieces 3.5Kg,36.9,27,PL031,UK Zero Rate,S00-4
Walnut pie 24 pieces 3.350g,36.9,27,PL032,UK Zero Rate,S00-4
Revani 24 pieces 3.150g,36.9,27,PL033,UK Zero Rate,S00-4
Spitiki nostimia traditional mediterranean pie 1.090g,6.9,4.6,PL055,UK Zero Rate,S00-4
Cookies Plexouda Vanilla 300gr,4.99,3.7,PL098,UK Zero Rate,S00-4
Mini Tsoureki 150gr,1.99,1.5,PL114,UK Zero Rate,S00-4
Takeaway plastic bags (25x33) 2.300pcs,50,39.5,REB010,UK Zero Rate,S00-28
Logo,0,100,REB015,UK Zero Rate,S00-28
Takeaway single grill box kalamaki (249x89x65) 10Kg It's all Greek to me,0,0,REB027,UK Zero Rate,S00-28
Takeaway greaseproof papers (25x35) ELIA 10Kg,0,0,REB028,UK Zero Rate,S00-28
Takeaway foil lined paper bags (12x29) 10Kg Elia,0,0,REB029,UK Zero Rate,S00-28
Takeaway greaseproof papers white (25x35) 10Kg Mr. Souvlaki,0,0,REB030,UK Zero Rate,S00-28
"Takeaway greaseproof papers ""MR.SOUVLAKI"" (25x35)10Kg",0,0,REB031,UK Zero Rate,S00-28
Karamanlidikos type pastourma from veal in slices 100g,6.5,5.5,SAR012,UK Zero Rate,S00-58
Aubergine salad (Agioritiki) 2Kg,15.99,8,SAV004,UK Zero Rate,S00-10
Horeca ketchup 4.2Kg,11.4,6.5,SAV007,UK Zero Rate,S00-10
Horeca mustard 4.2Kg,11.4,6.5,SAV008,UK Zero Rate,S00-10
Mustard 500gr,2,1.5,SAV02-23,UK Zero Rate,S00-10
Ketchup 500gr,2,1.5,SAV02-24,UK Zero Rate,S00-10
Dressing Caesar 500gr,3.2,2.1,SAV02-25,UK Zero Rate,S00-10
BBQ sauce 500gr,3,2,SAV02-26,UK Zero Rate,S00-10
Flaming red pepper spread 200g,3.9,2.65,SD001,UK Zero Rate,S00-34
Spinach and feta cheese pate 200g,3.9,2.72,SD003,UK Zero Rate,S00-34
Tomato and thyme sauce 280g,3.9,2.96,SD005,UK Zero Rate,S00-34
Tomato and feta sauce 280g,4.2,3.1,SD007,UK Zero Rate,S00-34
Tomato and garlic sauce 280g,4.2,2.96,SD009,UK Zero Rate,S00-34
Tomato and sweet red wine sauce 280g,4.2,3.35,SD011,UK Zero Rate,S00-34
Tomato and sweet red wine sauce 280g (Pack of 6),23.4,20.1,SD012,UK Zero Rate,S00-34
Pea and spearmint spread 200g,3.9,2.9,SD013,UK Zero Rate,S00-34
Pea and spearmint spread 200g (Pack of 6),20.94,17.4,SD014,UK Zero Rate,S00-34
Salt Rock From Mesologi Grinder 90gr,4.15,0,SD018,UK Zero Rate,S00-34
Salt Rock From Mesologgi and Pepper Grinder 80gr,4.15,0,SD020,UK Zero Rate,S00-34
Tomato and Basil Sauce 280gr,4.2,3.1,SD021,UK Zero Rate,S00-34
Tomato and Olive Sauce 280gr,4.2,3.1,SD022,UK Zero Rate,S00-34
Tomato and Aubergine Sauce 280gr,4.2,3.1,SD023,UK Zero Rate,S00-34
Moussaka in a jar 100gr,3.69,2.45,SD024,UK Zero Rate,S00-34
Greek Salad in a jar 200gr,4.2,2.96,SD025,UK Zero Rate,S00-34
Tomato Citrus & Cinnamon Sauce 280gr,4.2,3.1,SD026,UK Zero Rate,S00-34
"Greek honey from Philippi ""Pine and Herbs"" 450g",7.39,5.5,SE001,UK Zero Rate,S00-77
"Greek honey from Philippi ""Forest"" 450g",7.39,5.5,SE003,UK Zero Rate,S00-77
"Greek honey from Philippi ""Pine Trees"" 450g",7.39,5.5,SE008,UK Zero Rate,S00-77
Fillo pastry 400g,3.1,2.5,TH001,UK Zero Rate,S00-46
Kataifi pastry 400g,3.1,2.5,TH003,UK Zero Rate,S00-46
"ION Break white chocolate bar with rasins, almonds and hazelnuts 85g",2.1,1.55,EB044,UK Zero Rate,S00-111
ION Cocoa powder 125g,2.33,1.8,EB045,UK Zero Rate,S00-111
ION Noisetta bag 440g,8.9,7.2,EB046,UK Zero Rate,S00-111
Miranda biscuits 250g,2,1.55,EB047,UK Zero Rate,S00-111
Caprice classic wafer rolls with hazelnut 400g,5.35,3.75,EB050,UK Zero Rate,S00-111
Caprice classic wafer rolls with hazelnut 250g,4.6,3.15,EB051,UK Zero Rate,S00-111
Wheat rusks 255g (Box of 24),48,34.8,TR054,UK Zero Rate,S00-111
Nescafe classic 100g,6.5,4.5,PL089,UK Zero Rate,S00-4
Nescafe classic 2.75 Kg,105,89.9,PL142,UK Zero Rate,S00-4
Petit Beurre biscuits with wholegrain flour and dark chocolate 200g,2.2,1.6,EB053,UK Zero Rate,S00-111
Feta Cheese PDO 13Kg,0,103,TZA001,UK Zero Rate,S00-122
Feta Cheese PDO (in slices) 4Kg,0,32,TZA002,UK Zero Rate,S00-122
Feta Cheese PDO 1Kg,14.5,8.95,TZA003,UK Zero Rate,S00-122
Feta Cheese PDO 400gr,7.4,5.1,TZA004,UK Zero Rate,S00-122
Feta Cheese Light 400gr,6.3,5.3,TZA005,UK Zero Rate,S00-122
Goat Cheese 1Kg,14.8,9.1,TZA006,UK Zero Rate,S00-122
Goat Cheese 400gr,7.1,5.3,TZA007,UK Zero Rate,S00-122
Manouri Cheese PDO 200gr,5.1,3.85,TZA008,UK Zero Rate,S00-122
Vaeni Chrisanthi Retsina 11% vol. 500ml,6,3.3,VA009,UK Zero Rate,S00-52
"Vaeni Alexander the Great, White dry 11% vol. 750ml",8.5,4.95,VA011,UK Zero Rate,S00-52
"Vaeni Alexander the Great, Red dry 11% vol. 750ml",8.5,4.95,VA013,UK Zero Rate,S00-52
Vaeni Holly Eucharist 375ml,6.5,5.2,VA023,UK Zero Rate,S00-52
Vaeni Makedonikos White 750 ml,9,6.9,VA024,UK Zero Rate,S00-52
Vaeni Makedonikos Rose 750 ml,9,6.9,VA025,UK Zero Rate,S00-52
Vaeni Makedonikos Red 750 ml,9,6.9,VA026,UK Zero Rate,S00-52
Vaeni DOGMATIKOS White 750 ml,10.9,8.35,VA027,UK Zero Rate,S00-52
Vaeni DOGMATIKOS ROSE 750 ml,10.9,8.35,VA028,UK Zero Rate,S00-52
Green hot pepper sauce 100ml,2.99,2,VAR001,UK Zero Rate,S00-32
Naga hot pepper sauce 100ml,2.99,2,VAR003,UK Zero Rate,S00-32
Tropical hot pepper sauce 100ml,2.99,2,VAR005,UK Zero Rate,S00-32
Green hot pepper sauce 700ml,10.9,7.9,VAR007,UK Zero Rate,S00-32
Naga hot pepper sauce 700ml,10.9,7.9,VAR009,UK Zero Rate,S00-32
Tropical hot pepper sauce 700ml,10.9,7.9,VAR011,UK Zero Rate,S00-32
Vergina beer 5% vol. 330ml,1.66,0.9,VER001,UK Zero Rate,S00-30
Tuvunu Greek mountain tea 330ml,0.73,0.52,VER003,UK Zero Rate,S00-30
Vergina Beer Alcohol Free 0.33lt,1.55,0.95,VER009,UK Zero Rate,S00-30
Handmade pearl pasta 500g  (Pack of 10),37.8,24,AGR001-10,UK Zero Rate,
Handmade sour trahana 500g  (Pack of 10),36,24,AGR003-10,UK Zero Rate,
Handmade sweet trahana 500g  (Pack of 10),36,24,AGR005-10,UK Zero Rate,
Handmade hilopites with eggs and milk 500g  (Pack of 6),20,14.4,AGR007-6,UK Zero Rate,
Karolina rice 500g  (Pack of 12),19.08,9.6,AGR009-12,UK Zero Rate,
Nichaki rice 500g  (Pack of 12),19.08,9.6,AGR011-12,UK Zero Rate,
Bonnet rice 500g  (Pack of 12),19.08,12,AGR013-12,UK Zero Rate,
Karolina rice 1Kg  (Pack of 6),12.6,9.3,AGR015-6,UK Zero Rate,
Nichaki rice 1Kg  (Pack of 6),12.6,9.3,AGR017-6,UK Zero Rate,
Blue bonnet rice 1Kg  (Pack of 6),12.6,9.3,AGR019-6,UK Zero Rate,
Lentils 500g  (Pack of 12),22.8,15.6,AGR021-12,UK Zero Rate,
Medium beans 500g  (Pack of 12),22.8,15.6,AGR023-12,UK Zero Rate,
Giant beans 500g  (Pack of 12),57.2,28.44,AGR025-12,UK Zero Rate,
Chickpeas 500g  (Pack of 12),26.95,18.6,AGR027-12,UK Zero Rate,
Blackeyed beans 500g  (Pack of 12),30,21.6,AGR029-12,UK Zero Rate,
Handmade vegetable pearl pasta 500gr  (pack of 10),38.7,35,AGR034-10,UK Zero Rate,
Handmade pligouri(groats) 500gr  (pack of 10),37,22,AGR036-10,UK Zero Rate,
Handmade vegetable trahana 500gr  (pack of 10),38.7,38.5,AGR038-10,UK Zero Rate,
Handmade pumpkin trahana 500gr  (pack of 10),49,35,AGR040-10,UK Zero Rate,
Vegetable Orzo 500gr  (pack of 10),35.55,34,AGR042-10,UK Zero Rate,
Orzo with eggs and milk 500gr  (pack of 10),48,34,AGR044-10,UK Zero Rate,
Small Vegetable Pasta Shells 500gr  (pack of 10),37.8,35,AGR046-10,UK Zero Rate,
Angel Hair (pasta) 500gr  (pack of 10),48,34,AGR048-10,UK Zero Rate,
Handmade striftaria(pasta) 500g (pack of 10),48,34,AGR050-10,UK Zero Rate,
Fava Yellow 500gr  (box of 12),26.95,19.8,AGR032-12,UK Zero Rate,
Artichokes 1Kg  (Box of 10),52.9,49.9,AI001-10,UK Zero Rate,
Okra 1Kg  (Box of 10),59.9,47.5,AI006-10,UK Zero Rate,
Spinach leaf 1Kg  (Box of 10),29.9,25,AI007-10,UK Zero Rate,
Spinach with rice 1Kg  (Box of 9),36,33.75,AI008-9,UK Zero Rate,
Flat beans 1Kg  (Box of 10),29.9,26.5,AI009-10,UK Zero Rate,
Round beans 1Kg  (Box of 10),29.9,25.9,AI010-10,UK Zero Rate,
Broccoli 750g  (Box of 8),23.92,22.8,AI011-8,UK Zero Rate,
Alexakis pitta bread 10cm  (Box of 120),22,15,AL001-120,UK Zero Rate,
Alexakis pitta bread 17cm  (Box of 120),25,21.6,AL003-120,UK Zero Rate,
Alexakis pitta bread 18cm  (Box of 120),27,23.4,AL005-120,UK Zero Rate,
Alexakis pitta bread 20cm  (Box of 120),32,21.6,AL009-120,UK Zero Rate,
Alexakis pitta bread 23cm  (Box of 60),25,24,AL011-60,UK Zero Rate,
Alexakis pitta bread 25cm  (Box of 40),20,18,AL013-40,UK Zero Rate,
Alexakis squared pitta bread  (Box of 60),22,10.2,AL015-60,UK Zero Rate,
Alexakis Cyprian pitta bread 20cm  (Box of 60),22,15,AL017-60,UK Zero Rate,
Alexakis pitta bread whole grain 18cm  (Box of 120),30,22.8,AL021-120,UK Zero Rate,
Alexakis pitta bread corn 17cm  (Box of 120),30,22.8,AL020-120,UK Zero Rate,
Alexakis pitta bread 28cm  (Box of 40),33,20,AL035-40,UK Zero Rate,
Melissa Pasta Kids 'Cars' 500gr (Box of 12),20.2,13.8,EB006-12,UK Zero Rate,
Melissa Pasta Kids Numbers 500gr (Box of 12),20.2,13.8,EB003-12,UK Zero Rate,
Melissa Pasta Kids Pets 500gr  (Box of 12),20.2,13.8,EB004-12,UK Zero Rate,
Melissa Pasta Kids Words 500gr  (Box of 12),0,13.8,EB005-12,UK Zero Rate,
Bikre handmade marinated pork neck souvlaki 100g  (Box of 5Kg),48,34.5,BI063-5,UK Zero Rate,
Bikre kebab Kosmopolitiko 100g  Box (6x1Kg),81,40.2,BI091-6,UK Zero Rate,
Bikre kebab Anatolitiko with cheese cream 100g  (Box of 6x1Kg),88,45.6,BI100-6,UK Zero Rate,
Bikre stuffed burger with cheese 140g  (Box of 6Kg),78,40.02,BI104-6,UK Zero Rate,
Bikre chicken fillet nuggets 1Kg  (Box of 3),30.6,20.1,BI041-3,UK Zero Rate,
Bikre handmade marinated chicken breast souvlaki 100g  (Box of 5Kg),48,34.5,BI064-5,UK Zero Rate,
Soutzoukakia from Kavala 70gr Box (6x1kg),71.4,47.4,BI056-6,UK Zero Rate,
Grilled Burger 110gr Box (6x1kg),77.4,47.4,BI058-6,UK Zero Rate,
Chicken Schnitzel 120gr Box  (6x1kg),71.4,45,BI053-6,UK Zero Rate,
Bikre prebaked marinated chicken gyros 1Kg  (Box of 4),68,48.8,BI051-4,UK Zero Rate,
Bikre prebaked marinated pork gyros 1Kg (Box of 4),68,48.8,BI050-4,UK Zero Rate,
Meatballs  Box 6x1kg,56.4,46.2,BI105-6,UK Zero Rate,
Telion extra virgin olive oil 5Lt  (Box of 4),128,103.6,EL001-4,UK Zero Rate,
Elaion extra virgin olive oil 1Lt  (Box of 12),82.8,71.04,EL003-12,UK Zero Rate,
Koko pomace oil 1Lt (Box of 12),47.88,35.76,EL018-12,UK Zero Rate,
